4516516,2017-06-21 00:00:00.143,CA,ON,Waterloo,43.49347,-80.49123,593.5997270404047,POI3
4516547,2017-06-21 18:00:00.193,CA,ON,London,42.93990,-81.27090,677.5222776710536,POI3
4516550,2017-06-21 15:00:00.287,CA,ON,Guelph,43.57760,-80.22010,569.8265626186267,POI3
4516600,2017-06-21 15:00:00.307,CA,ON,Stratford,43.37160,-80.97730,634.9332532824117,POI3
4516613,2017-06-21 15:00:00.497,CA,ON,Stratford,43.37160,-80.97730,634.9332532824117,POI3
4516693,2017-06-21 14:00:00.597,CA,ON,Kitchener,43.43810,-80.50990,597.5662739373162,POI3
4516771,2017-06-21 10:00:00.873,CA,ON,Sarnia,42.96100,-82.37300,756.8657369317569,POI3
4516915,2017-06-21 15:00:01.310,CA,ON,London,43.00910,-81.17650,667.1510336335297,POI3
4516953,2017-06-21 16:00:01.700,CA,ON,Kitchener,43.42780,-80.51350,598.318167064841,POI3
4516966,2017-06-21 01:00:01.787,CA,ON,Kitchener,43.43810,-80.50990,597.5662739373162,POI3
4517044,2017-06-21 21:00:00.327,CA,ON,Windsor,42.28250,-83.03720,839.5027628341966,POI3
4517081,2017-06-21 22:00:00.753,CA,ON,Windsor,42.24397,-82.98058,837.4843343130339,POI3
4517175,2017-06-21 19:00:01.087,CA,ON,Saint Thomas,42.77920,-81.19270,680.4414368992141,POI3
4517220,2017-06-21 18:00:01.213,CA,ON,Waterloo,43.46340,-80.52010,597.1193042781898,POI3
4517250,2017-06-21 03:00:01.393,CA,ON,Chatham,42.42470,-82.17550,769.9027698275296,POI3
4517326,2017-06-21 04:00:00.367,CA,ON,Guelph,43.54250,-80.26760,574.9369329251346,POI3
4517349,2017-06-21 14:00:00.420,CA,ON,Chatham,42.42470,-82.17550,769.9027698275296,POI3
4517420,2017-06-21 08:00:00.427,CA,ON,Guelph,43.52150,-80.23380,573.4527735152604,POI3
4517466,2017-06-21 03:00:01.157,CA,ON,Waterloo,43.46780,-80.58400,601.594867606828,POI3
4517518,2017-06-21 21:00:01.333,CA,ON,Waterloo,43.46340,-80.52010,597.1193042781898,POI3
4517538,2017-06-21 21:00:01.427,CA,ON,Kitchener,43.44530,-80.49050,595.807626667357,POI3
